product_name,period,financial_year,Actual Consumption,Forecasted_Consumption,Method,Adopted,Reviewed
Cycle Beads,01/04/2023,22/23,130,551,Consumption,Yes,
Cycle Beads,01/05/2023,22/23,133,"3,226",Consumption,Yes,
Cycle Beads,01/06/2023,22/23,"1,959","3,226",Consumption,Yes,
Cycle Beads,01/07/2023,23/24,"1,280","3,226",Consumption,Yes,
Cycle Beads,01/08/2023,23/24,128,"3,226",Consumption,Yes,
Cycle Beads,01/09/2023,23/24,118,"3,226",Consumption,Yes,
Cycle Beads,01/10/2023,23/24,"1,573","3,226",Consumption,Yes,
Cycle Beads,01/11/2023,23/24,134,"3,226",Consumption,Yes,
Cycle Beads,01/12/2023,23/24,"1,001","3,226",Consumption,Yes,
Cycle Beads,01/01/2024,23/24,163,"3,226",Consumption,Yes,
Cycle Beads,01/02/2024,23/24,104,"3,226",Consumption,Yes,
Cycle Beads,01/03/2024,23/24,144,957,Demographic,Yes,
Cycle Beads,01/04/2024,23/24,105,957,Demographic,Yes,
Cycle Beads,01/05/2024,23/24,105,957,Demographic,Yes,
Cycle Beads,01/06/2024,23/24,86,957,Demographic,Yes,
Cycle Beads,01/07/2024,24/25,69,957,Demographic,Yes,
Cycle Beads,01/08/2024,24/25,124,957,Demographic,Yes,
Cycle Beads,01/09/2024,24/25,55,957,Demographic,Yes,
Cycle Beads,01/10/2024,24/25,105,957,Demographic,Yes,
Cycle Beads,01/11/2024,24/25,52,957,Demographic,Yes,
Cycle Beads,01/12/2024,24/25,102,957,Demographic,Yes,
Cycle Beads,01/01/2025,24/25,76,957,Demographic,Yes,
Cycle Beads,01/02/2025,24/25,114,957,Demographic,Yes,
Cycle Beads,01/03/2025,24/25,38,957,Demographic,Yes,
Cycle Beads,01/04/2025,24/25,82,957,Demographic,Yes,
Cycle Beads,01/05/2025,24/25,69,957,Demographic,Yes,
Cycle Beads,01/06/2025,24/25,106,957,Demographic,Yes,
DMPA-IM,01/01/2023,22/23,"225,423","249,389",Demographic,Yes,
DMPA-IM,01/02/2023,22/23,"223,075","249,389",Demographic,Yes,
DMPA-IM,01/03/2023,22/23,"245,874","249,389",Demographic,Yes,
DMPA-IM,01/04/2023,22/23,"195,703","249,389",Demographic,Yes,
DMPA-IM,01/05/2023,22/23,"221,177","271,139",Demographic,Yes,
DMPA-IM,01/06/2023,22/23,"204,177","271,139",Demographic,Yes,
DMPA-IM,01/07/2023,23/24,"195,891","271,139",Demographic,Yes,
DMPA-IM,01/08/2023,23/24,"208,750","271,139",Demographic,Yes,
DMPA-IM,01/09/2023,23/24,"206,618","271,139",Demographic,Yes,
DMPA-IM,01/10/2023,23/24,"192,611","271,139",Demographic,Yes,
DMPA-IM,01/11/2023,23/24,"200,081","271,139",Demographic,Yes,
DMPA-IM,01/12/2023,23/24,"202,906","271,139",Demographic,Yes,
DMPA-IM,01/01/2024,23/24,"217,289","271,139",Demographic,Yes,
DMPA-IM,01/02/2024,23/24,"191,762","271,139",Demographic,Yes,
DMPA-IM,01/03/2024,23/24,"207,029","200,866",Consumption AI,Yes,
DMPA-IM,01/04/2024,23/24,"200,364","200,866",Consumption AI,Yes,
DMPA-IM,01/05/2024,23/24,"220,112","200,866",Consumption AI,Yes,
DMPA-IM,01/06/2024,23/24,"212,825","200,866",Consumption AI,Yes,
DMPA-IM,01/07/2024,24/25,"228,424","200,866",Consumption AI,Yes,
DMPA-IM,01/08/2024,24/25,"216,668","200,866",Consumption AI,Yes,
DMPA-IM,01/09/2024,24/25,"210,510","200,866",Consumption AI,Yes,
DMPA-IM,01/10/2024,24/25,"218,819","200,866",Consumption AI,Yes,
DMPA-IM,01/11/2024,24/25,"207,141","200,866",Consumption AI,Yes,
DMPA-IM,01/12/2024,24/25,"202,942","200,866",Consumption AI,Yes,
DMPA-IM,01/01/2025,24/25,"212,054","200,866",Consumption AI,Yes,
DMPA-IM,01/02/2025,24/25,"183,057","200,866",Consumption AI,Yes,
DMPA-IM,01/03/2025,24/25,"175,278","200,866",Consumption AI,Yes,
DMPA-IM,01/04/2025,24/25,"206,348","200,866",Consumption AI,Yes,
DMPA-IM,01/05/2025,24/25,"207,059","200,866",Consumption AI,Yes,
DMPA-IM,01/06/2025,24/25,"166,329","200,866",Consumption AI,Yes,
DMPA-SC,01/01/2023,22/23,"2,483","45,833",Demographic,Yes,
DMPA-SC,01/02/2023,22/23,"1,840","45,833",Demographic,Yes,
DMPA-SC,01/03/2023,22/23,"2,759","45,833",Demographic,Yes,
DMPA-SC,01/04/2023,22/23,"3,625","45,833",Demographic,Yes,
DMPA-SC,01/05/2023,22/23,"8,214","61,105",Demographic,Yes,
DMPA-SC,01/06/2023,22/23,"15,175","61,105",Demographic,Yes,
DMPA-SC,01/07/2023,23/24,"18,663","61,105",Demographic,Yes,
DMPA-SC,01/08/2023,23/24,"24,493","61,105",Demographic,Yes,
DMPA-SC,01/09/2023,23/24,"29,549","61,105",Demographic,Yes,
DMPA-SC,01/10/2023,23/24,"33,595","61,105",Demographic,Yes,
DMPA-SC,01/11/2023,23/24,"36,336","61,105",Demographic,Yes,
DMPA-SC,01/12/2023,23/24,"37,892","61,105",Demographic,Yes,
DMPA-SC,01/01/2024,23/24,"48,538","61,105",Demographic,Yes,
DMPA-SC,01/02/2024,23/24,"46,835","61,105",Demographic,Yes,
DMPA-SC,01/03/2024,23/24,"43,184","68,815",Demographic,Yes,
DMPA-SC,01/04/2024,23/24,"42,977","68,815",Demographic,Yes,
DMPA-SC,01/05/2024,23/24,"49,097","68,815",Demographic,Yes,
DMPA-SC,01/06/2024,23/24,"47,927","68,815",Demographic,Yes,
DMPA-SC,01/07/2024,24/25,"56,685","68,815",Demographic,Yes,
DMPA-SC,01/08/2024,24/25,"58,686","68,815",Demographic,Yes,
DMPA-SC,01/09/2024,24/25,"62,225","68,815",Demographic,Yes,
DMPA-SC,01/10/2024,24/25,"67,348","68,815",Demographic,Yes,
DMPA-SC,01/11/2024,24/25,"57,400","68,815",Demographic,Yes,
DMPA-SC,01/12/2024,24/25,"54,771","68,815",Demographic,Yes,
DMPA-SC,01/01/2025,24/25,"55,164","68,815",Demographic,Yes,
DMPA-SC,01/02/2025,24/25,"48,718","68,815",Demographic,Yes,
DMPA-SC,01/03/2025,24/25,"45,760","68,815",Demographic,Yes,
DMPA-SC,01/04/2025,24/25,"44,402","68,815",Demographic,Yes,
DMPA-SC,01/05/2025,24/25,"49,305","68,815",Demographic,Yes,
DMPA-SC,01/06/2025,24/25,"55,762","68,815",Demographic,Yes,
EC Pills,01/01/2023,22/23,"6,337","5,004",Demographic,Yes,
EC Pills,01/02/2023,22/23,"8,332","5,004",Demographic,Yes,
EC Pills,01/03/2023,22/23,"7,402","5,004",Demographic,Yes,
EC Pills,01/04/2023,22/23,"6,082","5,004",Demographic,Yes,
EC Pills,01/05/2023,22/23,"4,455","3,607",Demographic,Yes,
EC Pills,01/06/2023,22/23,"4,551","3,607",Consumption AI,Yes,
EC Pills,01/07/2023,23/24,"6,531","3,607",Consumption AI,Yes,
EC Pills,01/08/2023,23/24,"5,315","3,607",Consumption AI,Yes,
EC Pills,01/09/2023,23/24,"5,300","3,607",Consumption AI,Yes,
EC Pills,01/10/2023,23/24,"5,526","3,607",Consumption AI,Yes,
EC Pills,01/11/2023,23/24,"5,378","3,607",Consumption AI,Yes,
EC Pills,01/12/2023,23/24,"5,821","3,607",Consumption AI,Yes,
EC Pills,01/01/2024,23/24,"6,002","3,607",Consumption AI,Yes,
EC Pills,01/02/2024,23/24,"5,987","3,607",Consumption AI,Yes,
EC Pills,01/03/2024,23/24,"6,629","3,353",Consumption AI,Yes,
EC Pills,01/04/2024,23/24,"6,441","3,353",Demographic,Yes,
EC Pills,01/05/2024,23/24,"6,517","3,353",Demographic,Yes,
EC Pills,01/06/2024,23/24,"6,835","3,353",Demographic,Yes,
EC Pills,01/07/2024,24/25,"7,719","3,353",Demographic,Yes,
EC Pills,01/08/2024,24/25,"7,690","3,353",Demographic,Yes,
EC Pills,01/09/2024,24/25,"7,086","3,353",Demographic,Yes,
EC Pills,01/10/2024,24/25,"7,822","3,353",Demographic,Yes,
EC Pills,01/11/2024,24/25,"7,025","3,353",Consumption AI,Yes,
EC Pills,01/12/2024,24/25,"7,160","3,353",Consumption AI,Yes,
EC Pills,01/01/2025,24/25,"6,895","3,353",Consumption AI,Yes,
EC Pills,01/02/2025,24/25,"5,926","3,353",Consumption AI,Yes,
EC Pills,01/03/2025,24/25,"5,932","3,353",Consumption AI,Yes,
EC Pills,01/04/2025,24/25,"6,649","3,353",Consumption AI,Yes,
EC Pills,01/05/2025,24/25,"6,199","3,353",Consumption AI,Yes,
EC Pills,01/06/2025,24/25,"6,048","3,353",Consumption AI,Yes,
Female Condoms,01/01/2023,22/23,"10,982","30,575",Service AI,Yes,
Female Condoms,01/02/2023,22/23,"16,020","30,575",Service AI,Yes,
Female Condoms,01/03/2023,22/23,"44,428","30,575",Service AI,Yes,
Female Condoms,01/04/2023,22/23,"48,499","30,575",Service AI,Yes,
Female Condoms,01/05/2023,22/23,"47,650","19,041",Service AI,Yes,
Female Condoms,01/06/2023,22/23,"34,460","19,041",Service AI,Yes,
Female Condoms,01/07/2023,23/24,"31,605","19,041",Service AI,Yes,
Female Condoms,01/08/2023,23/24,"31,418","19,041",Service AI,Yes,
Female Condoms,01/09/2023,23/24,"27,501","19,041",Service AI,Yes,
Female Condoms,01/10/2023,23/24,"20,329","19,041",Service AI,Yes,
Female Condoms,01/11/2023,23/24,"90,469","19,041",Service AI,Yes,
Female Condoms,01/12/2023,23/24,"65,297","19,041",Service AI,Yes,
Female Condoms,01/01/2024,23/24,"49,780","19,041",Service AI,Yes,
Female Condoms,01/02/2024,23/24,"34,297","19,041",Service AI,Yes,
Female Condoms,01/03/2024,23/24,"45,522","21,742",Service  Excel,Yes,
Female Condoms,01/04/2024,23/24,"82,948","21,742",Service  Excel,Yes,
Female Condoms,01/05/2024,23/24,"23,209","21,742",Service  Excel,Yes,
Female Condoms,01/06/2024,23/24,"43,800","21,742",Service  Excel,Yes,
Female Condoms,01/07/2024,24/25,"30,127","21,742",Service  Excel,Yes,
Female Condoms,01/08/2024,24/25,"24,858","21,742",Service  Excel,Yes,
Female Condoms,01/09/2024,24/25,"17,708","21,742",Service  Excel,Yes,
Female Condoms,01/10/2024,24/25,"47,864","21,742",Service  Excel,Yes,
Female Condoms,01/11/2024,24/25,"21,749","21,742",Consumption AI,Yes,
Female Condoms,01/12/2024,24/25,"37,328","21,742",Consumption AI,Yes,
Female Condoms,01/01/2025,24/25,"19,036","21,742",Consumption AI,Yes,
Female Condoms,01/02/2025,24/25,"25,908","21,742",Consumption AI,Yes,
Female Condoms,01/03/2025,24/25,"9,093","21,742",Consumption AI,Yes,
Female Condoms,01/04/2025,24/25,"18,116","21,742",Consumption AI,Yes,
Female Condoms,01/05/2025,24/25,"17,167","21,742",Consumption AI,Yes,
Female Condoms,01/06/2025,24/25,"14,626","21,742",Consumption AI,Yes,
Hormonal IUCD,01/01/2023,22/23,"3,305","3,015",Demographic,Yes,
Hormonal IUCD,01/02/2023,22/23,"1,136","3,015",Demographic,Yes,
Hormonal IUCD,01/03/2023,22/23,"1,642","3,015",Demographic,Yes,
Hormonal IUCD,01/04/2023,22/23,507,"3,015",Demographic,Yes,
Hormonal IUCD,01/05/2023,22/23,504,"4,315",Demographic,Yes,
Hormonal IUCD,01/06/2023,22/23,352,"4,315",Demographic,Yes,
Hormonal IUCD,01/07/2023,23/24,"1,367","4,315",Demographic,Yes,
Hormonal IUCD,01/08/2023,23/24,873,"4,315",Demographic,Yes,
Hormonal IUCD,01/09/2023,23/24,708,"4,315",Demographic,Yes,
Hormonal IUCD,01/10/2023,23/24,743,"4,315",Demographic,Yes,
Hormonal IUCD,01/11/2023,23/24,686,"4,315",Demographic,Yes,
Hormonal IUCD,01/12/2023,23/24,486,"4,315",Demographic,Yes,
Hormonal IUCD,01/01/2024,23/24,549,"4,315",Demographic,Yes,
Hormonal IUCD,01/02/2024,23/24,796,"4,315",Demographic,Yes,
Hormonal IUCD,01/03/2024,23/24,717,965,Demographic,Yes,
Hormonal IUCD,01/04/2024,23/24,666,965,Demographic,Yes,
Hormonal IUCD,01/05/2024,23/24,997,965,Demographic,Yes,
Hormonal IUCD,01/06/2024,23/24,702,965,Demographic,Yes,
Hormonal IUCD,01/07/2024,24/25,"1,082",965,Demographic,Yes,
Hormonal IUCD,01/08/2024,24/25,"1,310",965,Demographic,Yes,
Hormonal IUCD,01/09/2024,24/25,"1,403",965,Demographic,Yes,
Hormonal IUCD,01/10/2024,24/25,"1,145",965,Demographic,Yes,
Hormonal IUCD,01/11/2024,24/25,"1,044",965,Service AI,Yes,
Hormonal IUCD,01/12/2024,24/25,876,965,Service AI,Yes,
Hormonal IUCD,01/01/2025,24/25,"1,104",965,Service AI,Yes,
Hormonal IUCD,01/02/2025,24/25,"1,246",965,Service AI,Yes,
Hormonal IUCD,01/03/2025,24/25,859,965,Service AI,Yes,
Hormonal IUCD,01/04/2025,24/25,870,965,Service AI,Yes,
Hormonal IUCD,01/05/2025,24/25,900,965,Service AI,Yes,
Hormonal IUCD,01/06/2025,24/25,"1,028",965,Service AI,Yes,
Implanon,01/01/2023,22/23,"35,629","35,406",Service AI,Yes,
Implanon,01/02/2023,22/23,"27,258","35,406",Service AI,Yes,
Implanon,01/03/2023,22/23,"31,563","35,406",Service AI,Yes,
Implanon,01/04/2023,22/23,"27,683","35,406",Service AI,Yes,
Implanon,01/05/2023,22/23,"36,672","34,282",Service AI,Yes,
Implanon,01/06/2023,22/23,"36,353","34,282",Service AI,Yes,
Implanon,01/07/2023,23/24,"34,617","34,282",Service AI,Yes,
Implanon,01/08/2023,23/24,"34,754","34,282",Service AI,Yes,
Implanon,01/09/2023,23/24,"28,470","34,282",Service AI,Yes,
Implanon,01/10/2023,23/24,"25,853","34,282",Service AI,Yes,
Implanon,01/11/2023,23/24,"24,382","34,282",Service AI,Yes,
Implanon,01/12/2023,23/24,"19,385","34,282",Service AI,Yes,
Implanon,01/01/2024,23/24,"19,800","34,282",Service AI,Yes,
Implanon,01/02/2024,23/24,"27,260","34,282",Service AI,Yes,
Implanon,01/03/2024,23/24,"32,320","31,608",Consumption,Yes,
Implanon,01/04/2024,23/24,"29,470","31,608",Consumption,Yes,
Implanon,01/05/2024,23/24,"32,076","31,608",Consumption,Yes,
Implanon,01/06/2024,23/24,"36,060","31,608",Consumption,Yes,
Implanon,01/07/2024,24/25,"30,691","31,608",Consumption,Yes,
Implanon,01/08/2024,24/25,"28,193","31,608",Consumption,Yes,
Implanon,01/09/2024,24/25,"26,130","31,608",Consumption,Yes,
Implanon,01/10/2024,24/25,"27,074","31,608",Consumption,Yes,
Implanon,01/11/2024,24/25,"29,744","31,608",Service AI,Yes,
Implanon,01/12/2024,24/25,"25,247","31,608",Service AI,Yes,
Implanon,01/01/2025,24/25,"25,682","31,608",Service AI,Yes,
Implanon,01/02/2025,24/25,"24,717","31,608",Service AI,Yes,
Implanon,01/03/2025,24/25,"23,911","31,608",Service AI,Yes,
Implanon,01/04/2025,24/25,"32,908","31,608",Service AI,Yes,
Implanon,01/05/2025,24/25,"28,553","31,608",Service AI,Yes,
Implanon,01/06/2025,24/25,"28,454","31,608",Service AI,Yes,
Jadelle,01/01/2023,22/23,"22,370","35,406",Consumption AI,Yes,
Jadelle,01/02/2023,22/23,"28,736","35,406",Consumption AI,Yes,
Jadelle,01/03/2023,22/23,"36,507","35,406",Consumption AI,Yes,
Jadelle,01/04/2023,22/23,"29,167","35,406",Consumption AI,Yes,
Jadelle,01/05/2023,22/23,"37,203","35,776",Consumption AI,Yes,
Jadelle,01/06/2023,22/23,"39,392","35,776",Consumption AI,Yes,
Jadelle,01/07/2023,23/24,"39,305","35,776",Consumption AI,Yes,
Jadelle,01/08/2023,23/24,"45,952","35,776",Consumption AI,Yes,
Jadelle,01/09/2023,23/24,"43,131","35,776",Consumption AI,Yes,
Jadelle,01/10/2023,23/24,"42,827","35,776",Consumption AI,Yes,
Jadelle,01/11/2023,23/24,"40,368","35,776",Consumption AI,Yes,
Jadelle,01/12/2023,23/24,"36,195","35,776",Consumption AI,Yes,
Jadelle,01/01/2024,23/24,"42,587","35,776",Consumption AI,Yes,
Jadelle,01/02/2024,23/24,"39,925","35,776",Consumption AI,Yes,
Jadelle,01/03/2024,23/24,"36,923","38,306",Consumption AI,Yes,
Jadelle,01/04/2024,23/24,"33,995","38,306",Consumption AI,Yes,
Jadelle,01/05/2024,23/24,"36,880","38,306",Consumption AI,Yes,
Jadelle,01/06/2024,23/24,"37,214","38,306",Consumption AI,Yes,
Jadelle,01/07/2024,24/25,"43,185","38,306",Consumption AI,Yes,
Jadelle,01/08/2024,24/25,"43,880","38,306",Consumption AI,Yes,
Jadelle,01/09/2024,24/25,"44,338","38,306",Consumption AI,Yes,
Jadelle,01/10/2024,24/25,"44,169","38,306",Consumption AI,Yes,
Jadelle,01/11/2024,24/25,"39,655","38,306",Consumption AI,Yes,
Jadelle,01/12/2024,24/25,"33,483","38,306",Consumption AI,Yes,
Jadelle,01/01/2025,24/25,"37,641","38,306",Consumption AI,Yes,
Jadelle,01/02/2025,24/25,"35,852","38,306",Consumption AI,Yes,
Jadelle,01/03/2025,24/25,"32,134","38,306",Consumption AI,Yes,
Jadelle,01/04/2025,24/25,"30,114","38,306",Consumption AI,Yes,
Jadelle,01/05/2025,24/25,"26,607","38,306",Consumption AI,Yes,
Jadelle,01/06/2025,24/25,"25,098","38,306",Consumption AI,Yes,
Levoplant,01/01/2023,22/23,"12,863","17,703",Demographic,Yes,
Levoplant,01/02/2023,22/23,"14,349","17,703",Demographic,Yes,
Levoplant,01/03/2023,22/23,"15,972","17,703",Demographic,Yes,
Levoplant,01/04/2023,22/23,"9,661","17,703",Demographic,Yes,
Levoplant,01/05/2023,22/23,"11,390","19,833",Consumption AI,Yes,
Levoplant,01/06/2023,22/23,"11,284","19,833",Consumption AI,Yes,
Levoplant,01/07/2023,23/24,"10,493","19,833",Consumption AI,Yes,
Levoplant,01/08/2023,23/24,"12,763","19,833",Consumption AI,Yes,
Levoplant,01/09/2023,23/24,"11,768","19,833",Consumption AI,Yes,
Levoplant,01/10/2023,23/24,"12,263","19,833",Consumption AI,Yes,
Levoplant,01/11/2023,23/24,"13,288","19,833",Consumption AI,Yes,
Levoplant,01/12/2023,23/24,"11,512","19,833",Consumption AI,Yes,
Levoplant,01/01/2024,23/24,"12,962","19,833",Consumption AI,Yes,
Levoplant,01/02/2024,23/24,"12,385","19,833",Consumption ,Yes,
Levoplant,01/03/2024,23/24,"10,854","12,394",Consumption ,Yes,
Levoplant,01/04/2024,23/24,"9,653","12,394",Consumption ,Yes,
Levoplant,01/05/2024,23/24,"8,982","12,394",Consumption ,Yes,
Levoplant,01/06/2024,23/24,"8,970","12,394",Consumption ,Yes,
Levoplant,01/07/2024,24/25,"10,623","12,394",Consumption ,Yes,
Levoplant,01/08/2024,24/25,"10,111","12,394",Consumption ,Yes,
Levoplant,01/09/2024,24/25,"9,763","12,394",Consumption ,Yes,
Levoplant,01/10/2024,24/25,"10,689","12,394",Consumption ,Yes,
Levoplant,01/11/2024,24/25,"8,736","12,394",Consumption AI,Yes,
Levoplant,01/12/2024,24/25,"8,383","12,394",Consumption AI,Yes,
Levoplant,01/01/2025,24/25,"8,938","12,394",Consumption AI,Yes,
Levoplant,01/02/2025,24/25,"10,481","12,394",Consumption AI,Yes,
Levoplant,01/03/2025,24/25,"11,641","12,394",Consumption AI,Yes,
Levoplant,01/04/2025,24/25,"10,878","12,394",Consumption AI,Yes,
Levoplant,01/05/2025,24/25,"10,141","12,394",Consumption AI,Yes,
Levoplant,01/06/2025,24/25,"8,779","12,394",Consumption AI,Yes,
Male Condoms,01/01/2023,22/23,"1,655,090","2,973,348",Demographic,Yes,
Male Condoms,01/02/2023,22/23,"2,336,877","2,973,348",Demographic,Yes,
Male Condoms,01/03/2023,22/23,"2,555,080","2,973,348",Demographic,Yes,
Male Condoms,01/04/2023,22/23,"2,423,233","2,973,348",Demographic,Yes,
Male Condoms,01/05/2023,22/23,"2,308,731","3,091,620",Service  Excel,Yes,
Male Condoms,01/06/2023,22/23,"2,842,871","3,091,620",Service  Excel,Yes,
Male Condoms,01/07/2023,23/24,"2,836,230","3,091,620",Service  Excel,Yes,
Male Condoms,01/08/2023,23/24,"2,841,063","3,091,620",Service  Excel,Yes,
Male Condoms,01/09/2023,23/24,"3,045,910","3,091,620",Service  Excel,Yes,
Male Condoms,01/10/2023,23/24,"3,663,415","3,091,620",Service  Excel,Yes,
Male Condoms,01/11/2023,23/24,"2,976,722","3,091,620",Service  Excel,Yes,
Male Condoms,01/12/2023,23/24,"3,112,028","3,091,620",Service  Excel,Yes,
Male Condoms,01/01/2024,23/24,"3,178,418","3,091,620",Service  Excel,Yes,
Male Condoms,01/02/2024,23/24,"3,506,458","3,091,620",Service  Excel,Yes,
Male Condoms,01/03/2024,23/24,"2,505,489","3,152,755",Demographic,Yes,
Male Condoms,01/04/2024,23/24,"2,617,195","3,152,755",Demographic,Yes,
Male Condoms,01/05/2024,23/24,"3,003,823","3,152,755",Demographic,Yes,
Male Condoms,01/06/2024,23/24,"2,198,161","3,152,755",Demographic,Yes,
Male Condoms,01/07/2024,24/25,"2,138,146","3,152,755",Demographic,Yes,
Male Condoms,01/08/2024,24/25,"2,306,557","3,152,755",Demographic,Yes,
Male Condoms,01/09/2024,24/25,"1,846,024","3,152,755",Demographic,Yes,
Male Condoms,01/10/2024,24/25,"1,991,640","3,152,755",Demographic,Yes,
Male Condoms,01/11/2024,24/25,"1,772,441","3,152,755",Demographic,Yes,
Male Condoms,01/12/2024,24/25,"1,500,712","3,152,755",Demographic,Yes,
Male Condoms,01/01/2025,24/25,"1,566,577","3,152,755",Demographic,Yes,
Male Condoms,01/02/2025,24/25,"1,024,927","3,152,755",Demographic,Yes,
Male Condoms,01/03/2025,24/25,"1,326,354","3,152,755",Demographic,Yes,
Male Condoms,01/04/2025,24/25,"1,134,191","3,152,755",Demographic,Yes,
Male Condoms,01/05/2025,24/25,"1,069,880","3,152,755",Demographic,Yes,
Male Condoms,01/06/2025,24/25,"1,171,648","3,152,755",Demographic,Yes,
Non-Hormonal IUCD,01/01/2023,22/23,"9,478","8,313",Demographic,Yes,
Non-Hormonal IUCD,01/02/2023,22/23,"9,222","8,313",Demographic,Yes,
Non-Hormonal IUCD,01/03/2023,22/23,"8,049","8,313",Demographic,Yes,
Non-Hormonal IUCD,01/04/2023,22/23,"5,865","8,313",Demographic,Yes,
Non-Hormonal IUCD,01/05/2023,22/23,"6,717","7,892",Service AI,Yes,
Non-Hormonal IUCD,01/06/2023,22/23,"9,077","7,892",Service AI,Yes,
Non-Hormonal IUCD,01/07/2023,23/24,"6,544","7,892",Service AI,Yes,
Non-Hormonal IUCD,01/08/2023,23/24,"7,209","7,892",Service AI,Yes,
Non-Hormonal IUCD,01/09/2023,23/24,"6,997","7,892",Service AI,Yes,
Non-Hormonal IUCD,01/10/2023,23/24,"6,987","7,892",Service AI,Yes,
Non-Hormonal IUCD,01/11/2023,23/24,"6,516","7,892",Service AI,Yes,
Non-Hormonal IUCD,01/12/2023,23/24,"5,348","7,892",Service AI,Yes,
Non-Hormonal IUCD,01/01/2024,23/24,"6,378","7,892",Service AI,Yes,
Non-Hormonal IUCD,01/02/2024,23/24,"6,837","7,892",Service AI,Yes,
Non-Hormonal IUCD,01/03/2024,23/24,"6,741","6,301",Consumption,Yes,
Non-Hormonal IUCD,01/04/2024,23/24,"5,430","6,301",Consumption,Yes,
Non-Hormonal IUCD,01/05/2024,23/24,"6,356","6,301",Consumption,Yes,
Non-Hormonal IUCD,01/06/2024,23/24,"6,573","6,301",Consumption,Yes,
Non-Hormonal IUCD,01/07/2024,24/25,"7,398","6,301",Consumption,Yes,
Non-Hormonal IUCD,01/08/2024,24/25,"7,054","6,301",Consumption,Yes,
Non-Hormonal IUCD,01/09/2024,24/25,"7,060","6,301",Consumption,Yes,
Non-Hormonal IUCD,01/10/2024,24/25,"7,249","6,301",Consumption,Yes,
Non-Hormonal IUCD,01/11/2024,24/25,"6,634","6,301",Consumption,Yes,
Non-Hormonal IUCD,01/12/2024,24/25,"5,707","6,301",Consumption,Yes,
Non-Hormonal IUCD,01/01/2025,24/25,"6,439","6,301",Consumption,Yes,
Non-Hormonal IUCD,01/02/2025,24/25,"6,188","6,301",Consumption,Yes,
Non-Hormonal IUCD,01/03/2025,24/25,"6,237","6,301",Consumption,Yes,
Non-Hormonal IUCD,01/04/2025,24/25,"6,007","6,301",Consumption,Yes,
Non-Hormonal IUCD,01/05/2025,24/25,"6,138","6,301",Consumption,Yes,
Non-Hormonal IUCD,01/06/2025,24/25,"5,566","6,301",Consumption,Yes,
POPs,01/01/2023,22/23,"34,390","31,600",Demographic,Yes,
POPs,01/02/2023,22/23,"31,777","31,600",Demographic,Yes,
POPs,01/03/2023,22/23,"33,944","31,600",Demographic,Yes,
POPs,01/04/2023,22/23,"85,691","31,600",Demographic,Yes,
POPs,01/05/2023,22/23,"32,006","33,271",Consumption AI,Yes,
POPs,01/06/2023,22/23,"33,593","33,271",Consumption AI,Yes,
POPs,01/07/2023,23/24,"38,358","33,271",Consumption AI,Yes,
POPs,01/08/2023,23/24,"34,444","33,271",Consumption AI,Yes,
